ID,Date,Customer_ID,Gender,Age,Product_Category,Quantity,Price,Total_Amount,,,,,
72,5/23/2023,CUST072,Female,20,Electronics,4,500,2000,,,,,
73,8/21/2023,CUST073,Male,29,Electronics,3,30,90,,,,,
74,11/22/2023,CUST074,Female,18,Beauty,4,500,2000,,,,,
75,7/6/2023,CUST075,Male,61,Beauty,4,50,200,,,,,
76,3/25/2023,CUST076,Female,22,Electronics,2,50,100,,,,,
77,7/9/2023,CUST077,Female,47,Clothing,2,50,100,,,,,
78,7/1/2023,CUST078,Female,47,Clothing,3,500,1500,,,,,
79,4/18/2023,CUST079,Male,34,Beauty,1,300,300,,,,,
80,12/10/2023,CUST080,Female,64,Clothing,2,30,60,,,,,
81,5/17/2023,CUST081,Male,40,Electronics,1,50,50,,,,,
82,12/26/2023,CUST082,Female,32,Beauty,4,50,200,,,,,
83,12/16/2023,CUST083,Male,54,Electronics,2,50,100,,,,,
84,11/28/2023,CUST084,Female,38,Electronics,3,30,90,,,,,
85,2/6/2023,CUST085,Male,31,Clothing,3,50,150,,,,,
86,11/8/2023,CUST086,Male,19,Beauty,3,30,90,,,,,
87,11/22/2023,CUST087,Female,28,Beauty,2,50,100,,,,,
88,3/29/2023,CUST088,Male,56,Clothing,1,500,500,,,,,
89,10/1/2023,CUST089,Female,55,Electronics,4,500,2000,,,,,
90,5/6/2023,CUST090,Female,51,Electronics,1,30,30,,,,,
91,3/25/2023,CUST091,Female,55,Electronics,1,500,500,,,,,
92,8/25/2023,CUST092,Female,51,Electronics,4,30,120,,,,,
93,7/14/2023,CUST093,Female,35,Beauty,4,500,2000,,,,,
94,5/19/2023,CUST094,Female,47,Beauty,2,500,1000,,,,,
95,11/24/2023,CUST095,Female,32,Clothing,2,30,60,,,,,
96,12/19/2023,CUST096,Female,44,Clothing,2,300,600,,,,,
97,10/13/2023,CUST097,Female,51,Beauty,2,500,1000,,,,,
98,4/23/2023,CUST098,Female,55,Beauty,2,50,100,,,,,
99,12/17/2023,CUST099,Female,50,Electronics,4,300,1200,,,,,
100,6/16/2023,CUST100,Male,41,Electronics,1,30,30,,,,,
101,1/29/2023,CUST101,Male,32,Clothing,2,300,600,,,,,
102,4/28/2023,CUST102,Female,47,Beauty,2,25,50,,,,,
103,1/17/2023,CUST103,Female,59,Clothing,1,25,25,,,,,
104,6/11/2023,CUST104,Female,34,Beauty,2,500,1000,,,,,
105,7/25/2023,CUST105,Female,22,Electronics,1,500,500,,,,,
106,5/18/2023,CUST106,Female,46,Clothing,1,50,50,,,,,
107,2/3/2023,CUST107,Female,21,Clothing,4,300,1200,,,,,
108,4/19/2023,CUST108,Female,27,Beauty,3,25,75,,,,,
109,10/18/2023,CUST109,Female,34,Electronics,4,500,2000,,,,,
110,6/11/2023,CUST110,Male,27,Clothing,3,300,900,,,,,
111,4/19/2023,CUST111,Female,34,Electronics,3,500,1500,,,,,
112,12/2/2023,CUST112,Male,37,Clothing,3,500,1500,,,,,
113,9/13/2023,CUST113,Female,41,Electronics,2,25,50,,,,,
114,7/22/2023,CUST114,Female,22,Beauty,4,25,100,,,,,
115,11/26/2023,CUST115,Male,51,Clothing,3,500,1500,,,,,
116,8/23/2023,CUST116,Female,23,Clothing,1,30,30,,,,,
117,3/15/2023,CUST117,Male,19,Electronics,2,500,1000,,,,,
118,5/16/2023,CUST118,Female,30,Electronics,4,500,2000,,,,,
119,3/13/2023,CUST119,Female,60,Clothing,3,50,150,,,,,
120,5/7/2023,CUST120,Male,60,Beauty,1,50,50,,,,,
121,10/15/2023,CUST121,Female,28,Electronics,4,50,200,,,,,
122,10/3/2023,CUST122,Male,64,Electronics,4,30,120,,,,,
123,5/15/2023,CUST123,Female,40,Electronics,2,30,60,,,,,
124,10/27/2023,CUST124,Male,33,Clothing,4,500,2000,,,,,
125,8/8/2023,CUST125,Male,48,Clothing,2,50,100,,,,,
126,10/26/2023,CUST126,Female,28,Clothing,3,30,90,,,,,
127,7/24/2023,CUST127,Female,33,Clothing,2,25,50,,,,,
128,7/5/2023,CUST128,Male,25,Beauty,1,500,500,,,,,
129,4/23/2023,CUST129,Female,21,Beauty,2,300,600,,,,,
130,3/12/2023,CUST130,Female,57,Clothing,1,500,500,,,,,
131,9/18/2023,CUST131,Female,21,Beauty,2,300,600,,,,,
132,9/10/2023,CUST132,Male,42,Electronics,4,50,200,,,,,
133,2/16/2023,CUST133,Male,20,Electronics,3,300,900,,,,,
134,1/25/2023,CUST134,Male,49,Electronics,1,50,50,,,,,
135,2/26/2023,CUST135,Male,20,Clothing,2,25,50,,,,,
136,3/20/2023,CUST136,Male,44,Electronics,2,300,600,,,,,
137,11/18/2023,CUST137,Male,46,Beauty,2,500,1000,,,,,
138,3/23/2023,CUST138,Male,49,Clothing,4,50,200,,,,,
139,12/15/2023,CUST139,Male,36,Beauty,4,500,2000,,,,,
140,8/5/2023,CUST140,Male,38,Electronics,1,30,30,,,,,
141,11/2/2023,CUST141,Female,22,Electronics,1,50,50,,,,,
142,2/2/2023,CUST142,Male,35,Electronics,4,300,1200,,,,,
143,7/17/2023,CUST143,Female,45,Clothing,1,50,50,,,,,
144,7/15/2023,CUST144,Female,59,Beauty,3,500,1500,,,,,
145,11/2/2023,CUST145,Female,39,Clothing,3,25,75,,,,,
146,8/28/2023,CUST146,Male,38,Clothing,4,50,200,,,,,
147,9/28/2023,CUST147,Male,23,Electronics,1,300,300,,,,,
148,5/9/2023,CUST148,Male,18,Clothing,2,30,60,,,,,
149,10/11/2023,CUST149,Male,22,Clothing,3,25,75,,,,,
150,1/6/2023,CUST150,Female,58,Electronics,4,30,120,,,,,
151,12/15/2023,CUST151,Male,29,Clothing,1,50,50,,,,,
152,2/28/2023,CUST152,Male,43,Electronics,4,500,2000,,,,,
153,12/16/2023,CUST153,Male,63,Electronics,2,500,1000,,,,,
154,10/2/2023,CUST154,Male,51,Electronics,3,300,900,,,,,
155,5/17/2023,CUST155,Male,31,Electronics,4,500,2000,,,,,
156,11/25/2023,CUST156,Female,43,Clothing,4,25,100,,,,,
157,6/24/2023,CUST157,Male,62,Electronics,4,500,2000,,,,,
158,2/27/2023,CUST158,Female,44,Electronics,2,300,600,,,,,
159,5/31/2023,CUST159,Male,26,Clothing,4,50,200,,,,,
160,8/11/2023,CUST160,Female,43,Clothing,2,50,100,,,,,
161,3/22/2023,CUST161,Male,64,Beauty,2,500,1000,,,,,
162,8/21/2023,CUST162,Male,39,Clothing,2,30,60,,,,,
163,1/2/2023,CUST163,Female,64,Clothing,3,50,150,,,,,
164,5/15/2023,CUST164,Female,47,Beauty,3,500,1500,,,,,
165,9/14/2023,CUST165,Female,60,Clothing,4,300,1200,,,,,
166,4/2/2023,CUST166,Male,34,Clothing,4,500,2000,,,,,
167,9/17/2023,CUST167,Female,43,Clothing,3,50,150,,,,,
168,2/24/2023,CUST168,Male,53,Clothing,1,300,300,,,,,
169,11/17/2023,CUST169,Male,18,Beauty,3,500,1500,,,,,
170,6/2/2023,CUST170,Female,25,Clothing,2,25,50,,,,,
171,11/24/2023,CUST171,Female,52,Clothing,3,300,900,,,,,
172,9/17/2023,CUST172,Male,32,Beauty,2,25,50,,,,,
173,11/8/2023,CUST173,Male,64,Electronics,4,30,120,,,,,
174,4/12/2023,CUST174,Female,39,Beauty,1,300,300,,,,,
175,3/20/2023,CUST175,Female,31,Electronics,4,25,100,,,,,
176,7/11/2023,CUST176,Female,43,Beauty,2,50,100,,,,,
177,3/24/2023,CUST177,Male,45,Beauty,2,50,100,,,,,
178,10/4/2023,CUST178,Male,40,Clothing,2,30,60,,,,,
179,9/29/2023,CUST179,Male,31,Electronics,1,300,300,,,,,
180,1/1/2023,CUST180,Male,41,Clothing,3,300,900,,,,,
181,11/3/2023,CUST181,Male,19,Electronics,4,300,1200,,,,,
182,6/15/2023,CUST182,Male,62,Beauty,4,30,120,,,,,
183,9/8/2023,CUST183,Female,43,Beauty,3,300,900,,,,,
184,1/10/2023,CUST184,Male,31,Electronics,4,50,200,,,,,
185,2/27/2023,CUST185,Male,24,Clothing,1,25,25,,,,,
186,7/5/2023,CUST186,Male,20,Clothing,4,50,200,,,,,
187,6/7/2023,CUST187,Female,64,Clothing,2,50,100,,,,,
188,5/3/2023,CUST188,Male,40,Clothing,3,25,75,,,,,
189,1/30/2023,CUST189,Male,63,Beauty,1,50,50,,,,,
190,5/4/2023,CUST190,Female,60,Beauty,3,30,90,,,,,
191,10/18/2023,CUST191,Male,64,Beauty,1,25,25,,,,,
192,2/10/2023,CUST192,Male,62,Beauty,2,50,100,,,,,
193,2/13/2023,CUST193,Male,35,Beauty,3,500,1500,,,,,
194,9/6/2023,CUST194,Male,55,Clothing,4,50,200,,,,,
195,2/5/2023,CUST195,Male,52,Clothing,1,30,30,,,,,
196,9/30/2023,CUST196,Female,32,Clothing,3,300,900,,,,,
197,3/6/2023,CUST197,Female,42,Clothing,4,50,200,,,,,
198,3/7/2023,CUST198,Female,54,Beauty,3,300,900,,,,,
199,12/4/2023,CUST199,Male,45,Beauty,3,500,1500,,,,,
200,9/1/2023,CUST200,Male,27,Beauty,3,50,150,,,,,
201,10/9/2023,CUST201,Male,56,Electronics,1,25,25,,,,,
202,3/26/2023,CUST202,Female,34,Clothing,4,300,1200,,,,,
203,5/16/2023,CUST203,Male,56,Clothing,2,500,1000,,,,,
204,9/28/2023,CUST204,Male,39,Beauty,1,25,25,,,,,
205,11/7/2023,CUST205,Female,43,Clothing,1,25,25,,,,,
206,8/5/2023,CUST206,Male,61,Clothing,1,25,25,,,,,
207,4/19/2023,CUST207,Female,42,Beauty,2,25,50,,,,,
208,10/4/2023,CUST208,Female,34,Electronics,4,50,200,,,,,
209,12/20/2023,CUST209,Female,30,Electronics,4,50,200,,,,,
210,4/13/2023,CUST210,Male,37,Electronics,4,50,200,,,,,
211,1/1/2024,CUST211,Male,42,Beauty,3,500,1500,,,,,
212,6/9/2023,CUST212,Male,21,Clothing,3,500,1500,,,,,
213,7/24/2023,CUST213,Male,27,Beauty,3,500,1500,,,,,
214,12/10/2023,CUST214,Male,20,Beauty,2,30,60,,,,,
215,11/29/2023,CUST215,Male,58,Clothing,3,500,1500,,,,,
216,7/11/2023,CUST216,Male,62,Electronics,2,50,100,,,,,
217,8/13/2023,CUST217,Female,35,Electronics,4,50,200,,,,,
218,9/22/2023,CUST218,Male,64,Beauty,3,30,90,,,,,
219,8/20/2023,CUST219,Female,53,Electronics,3,30,90,,,,,
220,3/3/2023,CUST220,Male,64,Beauty,1,500,500,,,,,
221,5/7/2023,CUST221,Male,39,Beauty,2,300,600,,,,,
222,4/26/2023,CUST222,Male,51,Clothing,4,30,120,,,,,
223,2/2/2023,CUST223,Female,64,Clothing,1,25,25,,,,,
224,6/23/2023,CUST224,Female,25,Clothing,1,50,50,,,,,
225,1/11/2023,CUST225,Female,57,Beauty,4,25,100,,,,,
226,10/29/2023,CUST226,Female,61,Clothing,1,50,50,,,,,
227,10/11/2023,CUST227,Male,36,Electronics,2,50,100,,,,,
228,4/28/2023,CUST228,Female,59,Electronics,2,30,60,,,,,
229,10/29/2023,CUST229,Male,58,Beauty,3,30,90,,,,,
230,4/23/2023,CUST230,Male,54,Beauty,1,25,25,,,,,
231,1/4/2023,CUST231,Female,23,Clothing,3,50,150,,,,,
232,2/6/2023,CUST232,Female,43,Beauty,1,25,25,,,,,
233,12/29/2023,CUST233,Female,51,Beauty,2,300,600,,,,,
234,11/20/2023,CUST234,Female,62,Electronics,2,25,50,,,,,
235,1/31/2023,CUST235,Female,23,Electronics,2,500,1000,,,,,
236,4/28/2023,CUST236,Female,54,Clothing,1,25,25,,,,,
237,2/4/2023,CUST237,Female,50,Beauty,2,500,1000,,,,,
238,1/17/2023,CUST238,Female,39,Beauty,1,500,500,,,,,
239,6/19/2023,CUST239,Male,38,Electronics,3,500,1500,,,,,
240,2/6/2023,CUST240,Female,23,Beauty,1,300,300,,,,,
241,9/21/2023,CUST241,Female,23,Electronics,3,25,75,,,,,
242,5/2/2023,CUST242,Male,21,Clothing,1,25,25,,,,,
243,5/23/2023,CUST243,Female,47,Electronics,3,300,900,,,,,
244,12/9/2023,CUST244,Male,28,Beauty,2,50,100,,,,,
245,9/6/2023,CUST245,Male,47,Clothing,3,30,90,,,,,
246,4/20/2023,CUST246,Female,48,Electronics,2,25,50,,,,,
247,10/4/2023,CUST247,Male,41,Electronics,2,30,60,,,,,
248,3/9/2023,CUST248,Male,26,Clothing,3,300,900,,,,,
249,10/20/2023,CUST249,Male,20,Clothing,1,50,50,,,,,
250,10/23/2023,CUST250,Male,48,Electronics,1,50,50,,,,,
251,8/31/2023,CUST251,Female,57,Beauty,4,50,200,,,,,
252,5/5/2023,CUST252,Male,54,Electronics,1,300,300,,,,,
253,8/31/2023,CUST253,Female,53,Clothing,4,500,2000,,,,,
254,7/28/2023,CUST254,Male,41,Electronics,1,500,500,,,,,
255,4/8/2023,CUST255,Male,48,Clothing,1,30,30,,,,,
256,2/18/2023,CUST256,Male,23,Clothing,2,500,1000,,,,,
257,2/19/2023,CUST257,Male,19,Beauty,4,500,2000,,,,,
258,12/4/2023,CUST258,Female,37,Clothing,1,50,50,,,,,
259,8/9/2023,CUST259,Female,45,Clothing,4,50,200,,,,,
260,7/1/2023,CUST260,Male,28,Beauty,2,30,60,,,,,
261,8/5/2023,CUST261,Male,21,Clothing,2,25,50,,,,,
262,7/30/2023,CUST262,Female,32,Beauty,4,30,120,,,,,
263,8/28/2023,CUST263,Male,23,Beauty,2,30,60,,,,,
264,1/28/2023,CUST264,Male,47,Clothing,3,300,900,,,,,
265,12/11/2023,CUST265,Male,55,Clothing,3,300,900,,,,,
266,12/1/2023,CUST266,Female,19,Electronics,2,30,60,,,,,
267,11/27/2023,CUST267,Female,32,Beauty,3,30,90,,,,,
268,2/20/2023,CUST268,Female,28,Electronics,1,30,30,,,,,
269,2/1/2023,CUST269,Male,25,Clothing,4,500,2000,,,,,
270,7/26/2023,CUST270,Male,43,Electronics,1,300,300,,,,,
271,6/23/2023,CUST271,Female,62,Beauty,4,30,120,,,,,
272,2/25/2023,CUST272,Female,61,Electronics,2,50,100,,,,,
273,5/8/2023,CUST273,Female,22,Beauty,1,50,50,,,,,
274,4/9/2023,CUST274,Female,23,Clothing,2,500,1000,,,,,
275,4/8/2023,CUST275,Male,43,Clothing,2,500,1000,,,,,
276,10/2/2023,CUST276,Female,21,Beauty,4,25,100,,,,,
277,8/18/2023,CUST277,Male,36,Clothing,4,25,100,,,,,
278,3/13/2023,CUST278,Female,37,Clothing,4,25,100,,,,,
279,8/5/2023,CUST279,Male,50,Clothing,1,500,500,,,,,
280,4/4/2023,CUST280,Female,37,Clothing,3,500,1500,,,,,
281,5/23/2023,CUST281,Female,29,Beauty,4,500,2000,,,,,
282,8/25/2023,CUST282,Female,64,Electronics,4,50,200,,,,,
283,5/8/2023,CUST283,Female,18,Electronics,1,500,500,,,,,
284,2/8/2023,CUST284,Male,43,Clothing,4,50,200,,,,,
285,8/15/2023,CUST285,Female,31,Electronics,1,25,25,,,,,
286,10/9/2023,CUST286,Male,55,Electronics,2,25,50,,,,,
287,2/20/2023,CUST287,Male,54,Clothing,4,25,100,,,,,
288,1/26/2023,CUST288,Male,28,Clothing,4,30,120,,,,,
289,11/30/2023,CUST289,Male,53,Electronics,2,30,60,,,,,
290,10/4/2023,CUST290,Female,30,Beauty,2,300,600,,,,,
291,1/8/2023,CUST291,Male,60,Clothing,2,300,600,,,,,
292,2/17/2023,CUST292,Male,20,Beauty,4,300,1200,,,,,
293,5/2/2023,CUST293,Male,50,Electronics,3,30,90,,,,,
294,3/27/2023,CUST294,Female,23,Clothing,3,30,90,,,,,
295,7/28/2023,CUST295,Female,27,Beauty,3,300,900,,,,,
296,9/6/2023,CUST296,Female,22,Clothing,4,300,1200,,,,,
297,9/4/2023,CUST297,Female,40,Electronics,2,500,1000,,,,,
298,4/20/2023,CUST298,Male,27,Beauty,4,300,1200,,,,,
299,7/25/2023,CUST299,Male,61,Electronics,2,500,1000,,,,,
300,1/31/2023,CUST300,Female,19,Electronics,4,50,200,,,,,
301,3/26/2023,CUST301,Male,30,Clothing,4,30,120,,,,,
302,7/14/2023,CUST302,Male,57,Beauty,2,300,600,,,,,
303,1/2/2023,CUST303,Male,19,Electronics,3,30,90,,,,,
304,7/19/2023,CUST304,Female,37,Electronics,2,30,60,,,,,
305,5/16/2023,CUST305,Female,18,Beauty,1,30,30,,,,,
306,8/21/2023,CUST306,Male,54,Electronics,1,50,50,,,,,
307,5/27/2023,CUST307,Female,26,Electronics,2,25,50,,,,,
308,8/5/2023,CUST308,Female,34,Beauty,4,300,1200,,,,,
309,12/23/2023,CUST309,Female,26,Beauty,1,25,25,,,,,
310,10/12/2023,CUST310,Female,28,Beauty,1,25,25,,,,,
311,12/5/2023,CUST311,Female,32,Beauty,4,25,100,,,,,
312,9/7/2023,CUST312,Male,41,Clothing,4,30,120,,,,,
313,3/21/2023,CUST313,Female,55,Beauty,3,500,1500,,,,,
314,4/8/2023,CUST314,Male,52,Clothing,4,30,120,,,,,
315,6/1/2023,CUST315,Male,47,Clothing,2,30,60,,,,,
316,4/22/2023,CUST316,Female,48,Clothing,2,25,50,,,,,
317,1/30/2023,CUST317,Male,22,Electronics,3,30,90,,,,,
318,10/24/2023,CUST318,Male,61,Clothing,1,25,25,,,,,
319,10/5/2023,CUST319,Male,31,Clothing,1,500,500,,,,,
320,2/1/2023,CUST320,Female,28,Electronics,4,300,1200,,,,,
321,6/10/2023,CUST321,Female,26,Electronics,2,25,50,,,,,
322,1/30/2023,CUST322,Male,51,Electronics,1,500,500,,,,,
323,1/26/2023,CUST323,Female,29,Beauty,3,300,900,,,,,
324,10/27/2023,CUST324,Female,52,Electronics,3,50,150,,,,,
325,9/2/2023,CUST325,Female,52,Electronics,2,25,50,,,,,
326,9/15/2023,CUST326,Female,18,Clothing,3,25,75,,,,,
327,9/29/2023,CUST327,Male,57,Electronics,3,50,150,,,,,
328,3/22/2023,CUST328,Male,39,Beauty,2,50,100,,,,,
329,1/30/2023,CUST329,Female,46,Electronics,4,25,100,,,,,
330,9/18/2023,CUST330,Female,25,Beauty,4,50,200,,,,,
331,2/11/2023,CUST331,Male,28,Electronics,3,30,90,,,,,
332,4/6/2023,CUST332,Male,58,Electronics,4,300,1200,,,,,
333,2/5/2023,CUST333,Female,54,Electronics,4,300,1200,,,,,
334,11/1/2023,CUST334,Male,31,Electronics,3,300,900,,,,,
335,2/4/2023,CUST335,Female,47,Beauty,4,30,120,,,,,
336,12/12/2023,CUST336,Female,52,Beauty,3,50,150,,,,,
337,5/1/2023,CUST337,Male,38,Clothing,1,500,500,,,,,
338,7/26/2023,CUST338,Male,54,Beauty,2,50,100,,,,,
339,3/3/2023,CUST339,Female,22,Electronics,2,25,50,,,,,
340,10/19/2023,CUST340,Female,36,Clothing,4,300,1200,,,,,
341,5/7/2023,CUST341,Male,31,Clothing,4,50,200,,,,,
342,10/24/2023,CUST342,Female,43,Clothing,4,500,2000,,,,,
343,11/1/2023,CUST343,Male,21,Electronics,2,25,50,,,,,
344,1/21/2023,CUST344,Female,42,Beauty,1,30,30,,,,,
345,11/14/2023,CUST345,Male,62,Electronics,1,30,30,,,,,
346,2/11/2023,CUST346,Male,59,Clothing,2,500,1000,,,,,
347,8/3/2023,CUST347,Male,42,Electronics,1,25,25,,,,,
348,12/3/2023,CUST348,Female,35,Electronics,2,300,600,,,,,
349,10/26/2023,CUST349,Female,57,Beauty,1,50,50,,,,,
350,10/17/2023,CUST350,Male,25,Beauty,3,25,75,,,,,
351,9/25/2023,CUST351,Female,56,Clothing,3,30,90,,,,,
352,6/11/2023,CUST352,Male,57,Electronics,2,500,1000,,,,,
353,5/14/2023,CUST353,Male,31,Electronics,1,500,500,,,,,
354,4/15/2023,CUST354,Female,49,Beauty,4,50,200,,,,,
355,12/9/2023,CUST355,Female,55,Electronics,1,500,500,,,,,
356,6/10/2023,CUST356,Male,50,Electronics,3,500,1500,,,,,
357,5/3/2023,CUST357,Female,40,Electronics,3,25,75,,,,,
358,5/16/2023,CUST358,Female,32,Beauty,1,300,300,,,,,
359,7/22/2023,CUST359,Male,50,Clothing,1,50,50,,,,,
360,3/9/2023,CUST360,Male,42,Clothing,4,25,100,,,,,
361,12/10/2023,CUST361,Female,34,Electronics,4,300,1200,,,,,
362,11/27/2023,CUST362,Male,50,Clothing,1,25,25,,,,,
363,6/3/2023,CUST363,Male,64,Beauty,1,25,25,,,,,
364,8/23/2023,CUST364,Female,19,Beauty,1,500,500,,,,,
365,6/11/2023,CUST365,Male,31,Clothing,1,300,300,,,,,
366,2/7/2023,CUST366,Male,57,Clothing,2,50,100,,,,,
367,1/5/2023,CUST367,Female,57,Electronics,1,50,50,,,,,
368,8/23/2023,CUST368,Female,56,Clothing,4,300,1200,,,,,
369,11/15/2023,CUST369,Male,23,Electronics,3,500,1500,,,,,
370,10/16/2023,CUST370,Male,23,Electronics,2,30,60,,,,,
371,2/21/2023,CUST371,Female,20,Beauty,1,25,25,,,,,
372,2/7/2023,CUST372,Female,24,Beauty,3,500,1500,,,,,
373,10/3/2023,CUST373,Female,25,Beauty,2,300,600,,,,,
374,4/20/2023,CUST374,Female,59,Beauty,3,25,75,,,,,
375,9/17/2023,CUST375,Male,32,Clothing,1,50,50,,,,,
376,5/16/2023,CUST376,Female,64,Beauty,1,30,30,,,,,
377,3/9/2023,CUST377,Female,46,Clothing,4,50,200,,,,,
378,6/28/2023,CUST378,Male,50,Beauty,1,300,300,,,,,
379,2/5/2023,CUST379,Female,47,Clothing,1,25,25,,,,,
380,5/6/2023,CUST380,Male,56,Electronics,2,300,600,,,,,
381,7/9/2023,CUST381,Female,44,Clothing,4,25,100,,,,,
382,5/26/2023,CUST382,Female,53,Clothing,2,500,1000,,,,,
383,3/22/2023,CUST383,Female,46,Beauty,3,30,90,,,,,
384,8/13/2023,CUST384,Male,55,Clothing,1,500,500,,,,,
385,10/6/2023,CUST385,Male,50,Electronics,3,500,1500,,,,,
386,12/27/2023,CUST386,Female,54,Electronics,2,300,600,,,,,
387,6/4/2023,CUST387,Male,44,Beauty,1,30,30,,,,,
388,11/10/2023,CUST388,Male,50,Electronics,1,25,25,,,,,
389,12/1/2023,CUST389,Male,21,Clothing,2,25,50,,,,,
390,9/28/2023,CUST390,Male,39,Electronics,2,50,100,,,,,
391,1/5/2023,CUST391,Male,19,Beauty,2,25,50,,,,,
392,12/8/2023,CUST392,Male,27,Clothing,2,300,600,,,,,
393,10/11/2023,CUST393,Female,22,Beauty,2,500,1000,,,,,
394,6/3/2023,CUST394,Female,27,Clothing,1,500,500,,,,,
